,njets,npv,pt_1,eta_1,phi_1,m_1,iso_1,q_1,mt_1,pt_2,eta_2,phi_2,m_2,iso_2,q_2,mt_2,dm_2,jpt_1,jeta_1,jphi_1,jm_1,jbtag_1,jpt_2,jeta_2,jphi_2,jm_2,jbtag_2,pt_met,phi_met,m_vis,pt_vis,mjj,ptjj,jdeta,gen_match,run,weight,sample_name
10148,2,28,23.446583,1.5436426,0.15056726,0.10565837,0.08077915,1,30.461296613022093,32.09689,0.5166668,2.7637022,0.9961359,0.0,-1,30.19472788021693,1,51.62603,2.4889219,-1.3509749,15.650321,-1.0,33.147118,0.5105665,2.8334577,5.6027346,0.1949071,22.93768,1.5835843,60.609165,16.737633,122.06918,45.16442,1.9783554,True,1,0.036151208,VBF_HToTauTauSkim
10149,1,24,21.717989,-0.6747598,-0.056992874,0.10565837,0.049644295,1,25.69200857201926,20.728092,1.4371508,-2.3019724,0.9818711,0.0,-1,39.591401548310266,10,31.594488,2.8813937,2.1909733,9.259759,-1.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.841312,1.277518,65.86586,18.419447,-999.0,-999.0,-999.0,True,1,0.036151208,VBF_HToTauTauSkim
10150,1,12,21.29293,0.29402596,-2.3014657,0.10565837,0.0,-1,3.067255873983179,55.576942,0.15411627,0.107842445,0.6844017,0.0,1,95.25616527425379,1,66.158066,0.13821529,0.06737958,7.8366504,0.11325562,-999.0,-999.0,-999.0,-999.0,-999.0,45.199677,-2.4003763,64.426315,42.2152,-999.0,-999.0,-999.0,True,1,0.036151208,VBF_HToTauTauSkim
10151,2,12,26.905197,-0.6324547,0.76778334,0.10565837,0.034002334,1,88.0651253985617,39.99572,0.19063663,-1.2662104,0.13957,0.0,-1,8.258234902859082,0,131.29573,-0.60471,2.3193595,15.046331,0.011106795,38.176434,0.21138088,-1.2625846,5.1620526,0.5729989,108.26437,-1.1406298,62.32973,36.9043,151.77971,98.12009,-0.8160909,True,1,0.036151208,VBF_HToTauTauSkim
10152,2,16,33.28658,1.9012696,2.327184,0.10565837,0.024305098,-1,49.42980438088968,21.155941,-0.72687864,-1.1246814,0.83534616,0.0,1,4.110523755424767,1,43.719597,-2.252828,1.1402714,7.7091722,0.0822802,36.78563,2.7970836,-1.654526,7.6542964,-1.0,19.609907,-1.3268358,105.582344,14.642535,504.16364,15.47801,-5.0499115,True,1,0.036151208,VBF_HToTauTauSkim
10153,3,28,100.08719,0.15672357,0.55928034,0.10565837,0.018793609,1,8.289054016251656,20.219812,-0.081218556,-1.2729231,0.13957,0.19517247,-1,55.17328128527712,0,83.22468,-1.0157382,-2.8790472,17.81978,0.07904679,71.76097,3.8507488,-2.374672,16.74747,-10.0,65.00789,0.45647305,72.171814,96.85171,877.43823,150.11053,-4.866487,True,1,0.036151208,VBF_HToTauTauSkim
10154,3,19,58.823162,1.318643,-0.79748976,0.10565837,0.0049393233,-1,57.1594015542972,40.9028,0.32746843,-2.0221753,0.59068114,0.0,1,15.67877889322138,1,89.44021,2.8415666,1.6507838,15.879381,-10.0,60.54856,-3.2288265,1.6632416,10.650998,-10.0,69.203995,-1.7264051,75.79345,82.25362,1527.7454,149.98596,6.070393,True,1,0.036151208,VBF_HToTauTauSkim
10155,2,15,24.366577,-0.14651291,-1.4474089,0.10565837,0.08659275,1,1.2788398153866978,26.246555,-1.1878326,2.4888918,0.65097153,0.18869232,-1,80.0286753986817,1,60.081135,2.7256868,0.96068245,11.919544,0.22518368,37.773357,-1.1728756,2.5825639,6.654194,0.16896994,70.84749,-1.4166292,54.16822,19.662828,335.7755,69.31665,3.8985624,True,1,0.036151208,VBF_HToTauTauSkim
10156,5,20,17.571348,0.67813116,-1.3298365,0.10565837,0.26120296,-1,41.25538442875008,76.787094,-0.20412235,-2.8216403,0.13957,0.066624165,1,38.052292539782265,0,108.85597,0.074141584,-1.6185436,14.775884,0.41545257,104.975136,-0.6926014,1.7268116,18.020664,0.6142863,28.737417,2.6275306,60.048107,80.112114,231.009,22.08775,0.76674294,True,1,0.036151208,VBF_HToTauTauSkim
10157,3,24,23.604904,1.2866989,0.88971597,0.10565837,0.048091445,-1,2.535494097875475,41.623466,0.6358101,-1.3585309,0.7929394,0.12681669,1,98.03357760452782,1,48.56282,0.62975794,-1.372415,5.607941,0.31528127,46.274277,-2.778026,2.649693,13.985222,-10.0,73.15447,0.8286907,60.242165,32.52696,266.93857,40.46996,3.407784,True,1,0.036151208,VBF_HToTauTauSkim
