,njets,npv,pt_1,eta_1,phi_1,m_1,iso_1,q_1,mt_1,pt_2,eta_2,phi_2,m_2,iso_2,q_2,mt_2,dm_2,jpt_1,jeta_1,jphi_1,jm_1,jbtag_1,jpt_2,jeta_2,jphi_2,jm_2,jbtag_2,pt_met,phi_met,m_vis,pt_vis,mjj,ptjj,jdeta,gen_match,run,weight,sample_name
4570,1,17,31.050673,-0.8447558,-0.4006315,0.10565837,0.040928647,1,11.543922793775758,41.865032,-1.6353545,2.5154223,0.9064883,0.1704911,-1,83.4935803326383,1,44.033497,-1.6360306,2.5077822,7.0140715,0.16385645,-999.0,-999.0,-999.0,-999.0,-999.0,41.726074,-0.7227333,77.40037,13.520186,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4571,0,11,35.543648,-1.1922923,-1.8805746,0.10565837,0.48573828,1,54.8294511862301,28.325657,0.320368,1.4351722,0.13957,0.020828161,-1,16.489764736120748,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.475744,0.7694119,82.30841,9.086149,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4572,2,23,54.144554,-0.34583178,2.9560523,0.10565837,0.01026687,-1,0.21102493747313444,20.145435,-0.84161013,0.0007545511,0.13957,0.15292619,1,40.87905977590971,0,34.22735,0.93815064,-0.37868476,7.247468,0.090506144,31.376339,-0.8134648,-0.020804292,4.974959,0.19422212,20.906857,2.9623206,67.816185,34.54977,67.19676,64.55818,1.7516155,True,1,0.47121727,GluGluToHToTauTauSkim
4573,5,29,39.921608,0.17182474,2.9703934,0.10565837,0.013653448,1,40.55460451651992,41.34068,-0.7589792,-0.14361352,0.13957,0.03132722,-1,78.69516966359411,0,60.580383,-0.6838973,-0.10935322,10.859521,0.17800152,35.732803,2.6405487,-2.5435557,10.817568,-1.0,47.217216,-2.3409066,90.20257,1.8081982,253.32672,40.696434,-3.324446,True,1,0.47121727,GluGluToHToTauTauSkim
4574,1,26,21.70654,0.07457839,-0.08912619,0.10565837,0.023407329,1,6.570397452154887,62.493484,-0.22052173,3.0860445,0.87204117,0.008449198,-1,110.63912653389418,10,55.556183,-0.19709533,3.1112597,9.4497,0.10238854,-999.0,-999.0,-999.0,-999.0,-999.0,49.314594,0.11203357,74.46203,40.805687,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4575,3,13,21.75537,0.9045444,-2.9634533,0.10565837,0.027694697,1,5.327933268792063,54.200363,0.9102936,0.15192315,0.84081507,0.021094745,-1,102.88917005422094,1,65.00314,0.91647714,0.1855658,7.848187,0.18905279,54.616146,3.1805317,2.0210035,10.051594,-10.0,49.05893,-3.1267204,68.67935,32.45748,192.33548,73.15134,-2.2640545,True,1,0.47121727,GluGluToHToTauTauSkim
4576,1,18,21.256252,-0.19969214,-0.0015204895,0.10565837,0.0,-1,13.78983784211706,26.670107,-0.8759714,-2.9621043,1.038562,0.06479111,1,44.559211918362784,1,35.12492,-0.8712276,-3.0275202,5.0879927,0.24612698,-999.0,-999.0,-999.0,-999.0,-999.0,22.195946,-0.6475583,50.20104,6.916169,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4577,0,13,58.944035,0.17067707,0.84430504,0.10565837,0.036979996,-1,59.35762747939547,24.691647,-1.1211977,-1.5327944,1.0800213,0.12841707,1,3.4242211369973616,10,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.342379,-1.703464,88.32193,44.533348,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4578,1,7,17.134867,0.7714844,1.6477641,0.10565837,0.0,-1,23.066097898440947,54.947838,0.89065576,-1.1422681,0.81395644,0.031811416,1,24.239636414922266,1,51.934,0.88817024,-1.1687217,4.011652,0.27102512,-999.0,-999.0,-999.0,-999.0,-999.0,9.121565,-2.2863755,60.540993,39.30642,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
4579,1,13,48.725903,1.4768752,3.0489018,0.10565837,0.031308483,-1,24.45716437293268,33.28624,2.0907404,0.06372921,0.13957,0.0,1,26.241083742637315,0,46.294193,2.0988748,0.0771278,7.0855207,0.18946302,-999.0,-999.0,-999.0,-999.0,-999.0,7.6649857,-1.8640534,84.13491,16.672907,-999.0,-999.0,-999.0,True,1,0.47121727,GluGluToHToTauTauSkim
